ANO,UF,PIB_nominal
1995,AC,995
1995,AL,4037
1995,AM,10994
1995,BA,26769
1995,CE,12495
1995,DF,13231
1995,ES,12858
1995,GO,11875
1995,MG,62971
1995,MS,6994
1995,PA,12081
1995,PB,5324
1995,PE,17461
1995,PI,3180
1995,PR,38369
1995,RJ,74412
1995,RN,4727
1995,RO,2959
1995,RR,469
1995,RS,53653
1995,SC,23573
1995,SE,3533
1995,SP,229197
1996,AC,1148
1996,AL,5072
1996,AM,14090
1996,BA,32990
1996,CE,15641
1996,DF,16539
1996,ES,14909
1996,GO,14592
1996,MG,78604
1996,MS,8317
1996,PA,13855
1996,PB,6549
1996,PE,21391
1996,PI,3902
1996,PR,47720
1996,RJ,86758
1996,RN,5876
1996,RO,3639
1996,RR,547
1996,RS,63263
1996,SC,29454
1996,SE,4304
1996,SP,272035
1997,AC,1314
1997,AL,5756
1997,AM,14411
1997,BA,37021
1997,CE,17589
1997,DF,19916
1997,ES,16198
1997,GO,16025
1997,MG,87197
1997,MS,9292
1997,PA,14717
1997,PB,6989
1997,PE,23439
1997,PI,4225
1997,PR,52849
1997,RJ,97674
1997,RN,6669
1997,RO,4198
1997,RR,621
1997,RS,69221
1997,SC,31875
1997,SE,4843
1997,SP,308893
1998,AC,1454
1998,AL,6141
1998,AM,15107
1998,BA,38759
1998,CE,18836
1998,DF,25119
1998,ES,17369
1998,GO,17428
1998,MG,89490
1998,MS,10050
1998,PA,15572
1998,PB,7262
1998,PE,24810
1998,PI,4413
1998,PR,56798
1998,RJ,100651
1998,RN,6844
1998,RO,4611
1998,RR,746
1998,RS,70542
1998,SC,32434
1998,SE,5031
1998,SP,324152
1999,AC,1541
1999,AL,6363
1999,AM,15398
1999,BA,41608
1999,CE,19311
1999,DF,21984
1999,ES,18599
1999,GO,17742
1999,MG,92788
1999,MS,10789
1999,PA,16496
1999,PB,7857
1999,PE,25756
1999,PI,4686
1999,PR,61084
1999,RJ,113243
1999,RN,7569
1999,RO,4972
1999,RR,809
1999,RS,74666
1999,SC,35317
1999,SE,5379
1999,SP,336838
2000,AC,1703
2000,AL,7023
2000,AM,18873
2000,BA,48197
2000,CE,20800
2000,DF,29587
2000,ES,21530
2000,GO,21665
2000,MG,106169
2000,MS,11861
2000,PA,18914
2000,PB,9238
2000,PE,29127
2000,PI,5330
2000,PR,65969
2000,RJ,137877
2000,RN,9293
2000,RO,5625
2000,RR,1117
2000,RS,85138
2000,SC,42428
2000,SE,5921
2000,SP,370819
2001,AC,1921
2001,AL,7569
2001,AM,20736
2001,BA,52249
2001,CE,21581
2001,DF,33051
2001,ES,22538
2001,GO,25048
2001,MG,113530
2001,MS,13736
2001,PA,21748
2001,PB,10272
2001,PE,31725
2001,PI,5575
2001,PR,72770
2001,RJ,148033
2001,RN,9834
2001,RO,6083
2001,RR,1219
2001,RS,94084
2001,SC,46535
2001,SE,8204
2001,SP,400629
2002,AC,2971
2002,AL,11537
2002,AM,22093
2002,BA,58843
2002,CE,28719
2002,DF,53902
2002,ES,27049
2002,GO,38629
2002,MG,124071
2002,MS,16440
2002,PA,26482
2002,PB,12747
2002,PE,36056
