ANO,UF,PIB_nominal
1995-12-31,AC,995
1995-12-31,AL,4037
1995-12-31,AM,10994
1995-12-31,BA,26769
1995-12-31,CE,12495
1995-12-31,DF,13231
1995-12-31,ES,12858
1995-12-31,GO,11875
1995-12-31,MG,62971
1995-12-31,MS,6994
1995-12-31,PA,12081
1995-12-31,PB,5324
1995-12-31,PE,17461
1995-12-31,PI,3180
1995-12-31,PR,38369
1995-12-31,RJ,74412
1995-12-31,RN,4727
1995-12-31,RO,2959
1995-12-31,RR,469
1995-12-31,RS,53653
1995-12-31,SC,23573
1995-12-31,SE,3533
1995-12-31,SP,229197
1996-12-31,AC,1148
1996-12-31,AL,5072
1996-12-31,AM,14090
1996-12-31,BA,32990
1996-12-31,CE,15641
1996-12-31,DF,16539
1996-12-31,ES,14909
1996-12-31,GO,14592
1996-12-31,MG,78604
1996-12-31,MS,8317
1996-12-31,PA,13855
1996-12-31,PB,6549
1996-12-31,PE,21391
1996-12-31,PI,3902
1996-12-31,PR,47720
1996-12-31,RJ,86758
1996-12-31,RN,5876
1996-12-31,RO,3639
1996-12-31,RR,547
1996-12-31,RS,63263
1996-12-31,SC,29454
1996-12-31,SE,4304
1996-12-31,SP,272035
1997-12-31,AC,1314
1997-12-31,AL,5756
1997-12-31,AM,14411
1997-12-31,BA,37021
1997-12-31,CE,17589
1997-12-31,DF,19916
1997-12-31,ES,16198
1997-12-31,GO,16025
1997-12-31,MG,87197
1997-12-31,MS,9292
1997-12-31,PA,14717
1997-12-31,PB,6989
1997-12-31,PE,23439
1997-12-31,PI,4225
1997-12-31,PR,52849
1997-12-31,RJ,97674
1997-12-31,RN,6669
1997-12-31,RO,4198
1997-12-31,RR,621
1997-12-31,RS,69221
1997-12-31,SC,31875
1997-12-31,SE,4843
1997-12-31,SP,308893
1998-12-31,AC,1454
1998-12-31,AL,6141
1998-12-31,AM,15107
1998-12-31,BA,38759
1998-12-31,CE,18836
1998-12-31,DF,25119
1998-12-31,ES,17369
1998-12-31,GO,17428
1998-12-31,MG,89490
1998-12-31,MS,10050
1998-12-31,PA,15572
1998-12-31,PB,7262
1998-12-31,PE,24810
1998-12-31,PI,4413
1998-12-31,PR,56798
1998-12-31,RJ,100651
1998-12-31,RN,6844
1998-12-31,RO,4611
1998-12-31,RR,746
1998-12-31,RS,70542
1998-12-31,SC,32434
1998-12-31,SE,5031
1998-12-31,SP,324152
1999-12-31,AC,1541
1999-12-31,AL,6363
