ano,sigla_uf,populacao
1991,AC,417102
1991,AL,2512658
1991,AM,2102766
1991,AP,289035
1991,BA,11867336
1991,CE,6366132
1991,DF,1601093
1991,ES,2600619
1991,GO,4017506
1991,MA,4929676
1991,MG,15743536
1991,MS,1780385
1991,MT,2026069
1991,PA,4949222
1991,PB,3201324
1991,PE,7127956
1991,PI,2582075
1991,PR,8448620
1991,RJ,12807197
1991,RN,2415077
1991,RO,1133265
1991,RR,217583
1991,RS,9138463
1991,SC,4542048
1991,SE,1491878
1991,SP,31588794
1991,TO,918400
1992,AC,428006
1992,AL,2548092
1992,AM,2165852
1992,AP,299305
1992,BA,12014023
1992,CE,6433713
1992,DF,1639035
1992,ES,2649747
1992,GO,4098513
1992,MA,4990749
1992,MG,15941939
1992,MS,1818175
1992,MT,2107698
1992,PA,5328133
1992,PB,3229163
1992,PE,7187355
1992,PI,2610476
1992,PR,8511279
1992,RJ,12916705
1992,RN,2448267
1992,RO,1190739
1992,RR,228749
1992,RS,9249199
1992,SC,4614268
1992,SE,1515142
1992,SP,32126058
1992,TO,946604
1993,AC,437495
1993,AL,2604394
1993,AM,2217600
1993,AP,308787
1993,BA,12278027
1993,CE,6549847
1993,DF,1673151
1993,ES,2698687
1993,GO,4171489
1993,MA,5088898
1993,MG,16144856
1993,MS,1850162
1993,MT,2178178
1993,PA,5212812
1993,PB,3274323
1993,PE,7295118
1993,PI,2657415
1993,PR,8587901
1993,RJ,13065279
1993,RN,2503463
1993,RO,1241693
1993,RR,241099
1993,RS,9370531
1993,SC,4697277
1993,SE,1551633
1993,SP,32701353
1993,TO,970259
1994,AC,446480
1994,AL,2645417
1994,AM,2269555
1994,AP,317597
1994,BA,12464316
1994,CE,6633080
1994,DF,1705889
1994,ES,2743243
1994,GO,4240812
1994,MA,5160974
1994,MG,16327360
1994,MS,1881868
1994,MT,2246757
1994,PA,5332187
1994,PB,3307583
1994,PE,7371110
1994,PI,2691615
1994,PR,8651138
1994,RJ,13182301
1994,RN,2543397
1994,RO,1291214
1994,RR,251783
1994,RS,9475871
1994,SC,4767826
1994,SE,1578782
1994,SP,33206755
1994,TO,990760
1995,AC,455242
1995,AL,2685421
1995,AM,2320221
1995,AP,326188
1995,BA,12645982
1995,CE,6714246
1995,DF,1737813
1995,ES,2786692
1995,GO,4308415
1995,MA,5231261
1995,MG,16505334
1995,MS,1912788
1995,MT,2313634
1995,PA,5448598
1995,PB,3340018
1995,PE,7445216
1995,PI,2724967
1995,PR,8712805
1995,RJ,13296419
1995,RN,2582339
1995,RO,1339507
1995,RR,262201
1995,RS,9578597
1995,SC,4836624
1995,SE,1605257
1995,SP,33699614
1995,TO,1007041
1996,AC,483593
1996,AL,2633251
1996,AM,2389279
1996,AP,379459
1996,BA,12541675
1996,CE,6809290
1996,DF,1821946
1996,ES,2802707
1996,GO,4514967
1996,MA,5222183
1996,MG,16672613
1996,MS,1927834
1996,MT,2235832
1996,PA,5510849
1996,PB,3305616
1996,PE,7399071
1996,PI,2673085
1996,PR,9003804
1996,RJ,13406308
1996,RN,2558660
1996,RO,1229306
1996,RR,247131
1996,RS,9634688
1996,SC,4875244
1996,SE,1624020
1996,SP,34119110
1996,TO,1048642
1997,AC,500185
1997,AL,2663071
1997,AM,2460602
1997,AP,401916
1997,BA,12709744
1997,CE,6920292
1997,DF,1877015
1997,ES,2853098
1997,GO,4639785
